index,l_pup_cent_x,l_pup_cent_y,l_pup_cent_z,l_pup_cent_val,l_pup_diam,l_pup_diam_val,l_gaze_dir_x,l_gaze_dir_y,l_gaze_dir_z,l_gaze_dir_val,r_pup_cent_x,r_pup_cent_y,r_pup_cent_z,r_pup_cent_val,r_pup_diam,r_pup_diam_val,r_gaze_dir_x,r_gaze_dir_y,r_gaze_dir_z,r_gaze_dir_val,gaze_pos_x,gaze_pos_y,gaze_pos_val,3d_gaze_pos_x,3d_gaze_pos_y,3d_gaze_pos_z,3d_gaze_pos_val,pts_time,vts_time,seconds
300928097,27.65,-23.24,-33.31,0.0,3.23,0.0,0.1265,0.2226,0.9667,0.0,-29.0,-20.89,-32.99,0.0,3.13,0.0,0.2013,0.2462,0.9481,0.0,0.3995,0.2943,0.0,105.14,129.06,583.97,0.0,,,0.0
300948084,27.65,-23.25,-33.31,0.0,3.22,0.0,0.1271,0.2218,0.9668,0.0,-29.02,-20.9,-32.98,0.0,3.13,0.0,0.2038,0.2464,0.9475,0.0,0.3983,0.2952,0.0,103.1,124.55,566.09,0.0,,,0.019987
300968094,27.66,-23.25,-33.31,0.0,3.22,0.0,0.1277,0.2216,0.9667,0.0,-29.02,-20.91,-32.97,0.0,3.13,0.0,0.2054,0.2461,0.9472,0.0,0.3975,0.2958,0.0,102.74,122.91,560.05,0.0,,,0.039997
300988082,27.66,-23.26,-33.31,0.0,3.22,0.0,0.1278,0.2212,0.9668,0.0,-29.03,-20.92,-32.96,0.0,3.12,0.0,0.2059,0.2454,0.9473,0.0,0.3973,0.2964,0.0,102.73,122.35,559.11,0.0,,,0.059985
301008063,27.66,-23.26,-33.31,0.0,3.22,0.0,0.1276,0.2205,0.967,0.0,-29.03,-20.93,-32.95,0.0,3.12,0.0,0.2057,0.2447,0.9475,0.0,0.3975,0.2973,0.0,102.7,122.04,559.73,0.0,,,0.079966
301028046,27.66,-23.26,-33.31,0.0,3.19,0.0,0.1269,0.2184,0.9676,0.0,-29.04,-20.93,-32.95,0.0,3.13,0.0,0.2051,0.2446,0.9477,0.0,0.3978,0.2992,0.0,100.54,118.87,549.79,0.0,,,0.099949
301048027,27.65,-23.26,-33.31,0.0,3.18,0.0,0.1272,0.2188,0.9674,0.0,-29.04,-20.93,-32.95,0.0,3.12,0.0,0.2044,0.2446,0.9478,0.0,0.398,0.2986,0.0,101.73,120.85,557.37,0.0,,,0.11993
301068015,27.65,-23.27,-33.31,0.0,3.19,0.0,0.127,0.2198,0.9673,0.0,-29.04,-20.93,-32.95,0.0,3.12,0.0,0.2039,0.2441,0.9481,0.0,0.3984,0.2979,0.0,103.22,123.38,567.36,0.0,,,0.139918
301227941,27.65,-23.27,-33.31,0.0,3.19,0.0,0.1274,0.219,0.9674,0.0,-29.04,-20.92,-32.95,0.0,3.13,0.0,0.2033,0.2431,0.9485,0.0,0.3986,0.2987,0.0,104.36,124.56,574.66,0.0,4078340.0,79866.0,0.299844
301247922,27.66,-23.27,-33.32,0.0,3.21,0.0,0.1278,0.2199,0.9671,0.0,-29.05,-20.92,-32.95,0.0,3.13,0.0,0.2028,0.2426,0.9487,0.0,0.3987,0.2978,0.0,106.79,128.06,588.59,0.0,4098321.0,99847.0,0.319825
301267909,27.66,-23.26,-33.32,0.0,3.22,0.0,0.128,0.2204,0.967,0.0,-29.05,-20.92,-32.96,0.0,3.14,0.0,0.2029,0.2418,0.9489,0.0,0.3987,0.2976,0.0,108.22,129.86,596.37,0.0,4118308.0,119834.0,0.339812
301287890,27.65,-23.26,-33.33,0.0,3.22,0.0,0.1276,0.2189,0.9674,0.0,-29.05,-20.92,-32.96,0.0,3.14,0.0,0.2025,0.2404,0.9493,0.0,0.3989,0.2995,0.0,107.91,128.84,596.45,0.0,4138289.0,139815.0,0.359793
301307877,27.44,-23.23,-33.42,0.0,3.18,0.0,0.0733,0.2159,0.9737,0.0,-29.2,-20.97,-32.98,0.0,3.19,0.0,0.1336,0.2338,0.9631,0.0,0.4406,0.3042,0.0,85.14,164.72,771.3,0.0,4158276.0,159802.0,0.37978
301327883,26.97,-23.24,-33.45,0.0,3.17,0.0,-0.0377,0.2279,0.973,0.0,-29.57,-21.0,-33.04,0.0,3.27,0.0,0.021,0.2287,0.9733,0.0,0.5119,0.3021,0.0,-9.38,197.84,904.49,0.0,4178282.0,179808.0,0.399786
301347873,26.57,-23.29,-33.41,0.0,3.23,0.0,-0.1181,0.2061,0.9714,0.0,-29.93,-20.99,-33.15,0.0,3.21,0.0,-0.0506,0.2135,0.9756,0.0,0.5603,0.3281,0.0,-70.9,149.74,764.42,0.0,4198272.0,199798.0,0.419776
301367852,26.42,-23.32,-33.36,0.0,3.26,0.0,-0.1455,0.1998,0.969,0.0,-30.08,-20.98,-33.18,0.0,3.2,0.0,-0.0768,0.2088,0.9749,0.0,0.5775,0.3353,0.0,-90.57,140.71,741.58,0.0,4218251.0,219777.0,0.439755
301387840,26.36,-23.34,-33.33,0.0,3.27,0.0,-0.1549,0.1986,0.9678,0.0,-30.15,-20.97,-33.2,0.0,3.2,0.0,-0.085,0.2065,0.9747,0.0,0.5833,0.3377,0.0,-96.4,137.16,730.68,0.0,4238239.0,239765.0,0.459743
301407821,26.34,-23.35,-33.3,0.0,3.27,0.0,-0.159,0.1986,0.9671,0.0,-30.19,-20.96,-33.21,0.0,3.2,0.0,-0.087,0.2036,0.9752,0.0,0.5854,0.3399,0.0,-96.71,132.55,713.79,0.0,4258220.0,259746.0,0.479724
301467803,26.34,-23.34,-33.31,0.0,3.28,0.0,-0.1599,0.1992,0.9668,0.0,-30.23,-20.92,-33.23,0.0,3.29,0.0,-0.0889,0.2042,0.9749,0.0,0.5862,0.3388,0.0,-99.15,135.29,724.43,0.0,4318202.0,319728.0,0.539706
301487784,26.45,-23.18,-33.47,0.0,3.46,0.0,-0.1531,0.2167,0.9642,0.0,-30.23,-20.81,-33.37,0.0,3.25,0.0,-0.0836,0.199,0.9764,0.0,0.5827,0.3322,0.0,-90.93,134.22,695.74,0.0,4338183.0,339709.0,0.559687
301507771,26.9,-23.0,-33.61,0.0,3.31,0.0,-0.0475,0.1746,0.9835,0.0,,,,,,,,,,,0.5123,0.3704,0.0,-9.01,108.87,709.1,0.0,4358170.0,359696.0,0.579674
301527778,27.31,-22.85,-33.92,0.0,3.33,0.0,0.0529,0.1419,0.9885,0.0,,,,,,,,,,,0.4485,0.4043,0.0,67.25,84.34,712.55,0.0,4378177.0,379703.0,0.599681
301547766,27.56,-22.85,-34.01,0.0,3.33,0.0,0.1012,0.159,0.9821,0.0,-29.4,-20.72,-33.49,0.0,3.39,0.0,0.087,0.204,0.9751,0.0,0.4463,0.357,0.0,69.78,114.61,701.69,0.0,4398165.0,399691.0,0.619669
301567747,27.66,-22.9,-33.95,0.0,3.34,0.0,0.1128,0.1694,0.9791,0.0,-29.11,-20.69,-33.46,0.0,3.34,0.0,0.147,0.1982,0.9691,0.0,0.4237,0.3485,0.0,115.95,143.28,840.81,0.0,4418146.0,419672.0,0.63965
301587734,27.68,-23.05,-33.79,0.0,3.32,0.0,0.1269,0.1926,0.973,0.0,-29.04,-20.72,-33.42,0.0,3.31,0.0,0.1751,0.2045,0.9631,0.0,0.4105,0.3273,0.0,158.82,187.78,988.32,0.0,4438133.0,439659.0,0.659637
301607715,27.7,-23.1,-33.74,0.0,3.31,0.0,0.1296,0.1985,0.9715,0.0,-28.98,-20.77,-33.44,0.0,3.32,0.0,0.1808,0.2195,0.9587,0.0,0.4071,0.318,0.0,136.72,162.93,819.99,0.0,4458114.0,459640.0,0.679618
