index,l_gaze_dir_x,l_gaze_dir_y,l_gaze_dir_z,l_gaze_dir_val,l_pup_cent_x,l_pup_cent_y,l_pup_cent_z,l_pup_cent_val,l_pup_diam,l_pup_diam_val,r_gaze_dir_x,r_gaze_dir_y,r_gaze_dir_z,r_gaze_dir_val,r_pup_cent_x,r_pup_cent_y,r_pup_cent_z,r_pup_cent_val,r_pup_diam,r_pup_diam_val,gaze_pos_x,gaze_pos_y,gaze_pos_val,3d_gaze_pos_x,3d_gaze_pos_y,3d_gaze_pos_z,3d_gaze_pos_val,pts_time,vts_time,seconds
212811548,-0.1574,0.1295,0.979,0.0,28.96,-26.03,-30.39,0.0,3.56,0.0,-0.0726,0.1014,0.9922,0.0,-35.68,-26.21,-30.14,0.0,3.34,0.0,0.5794,0.449,0.0,-80.76,51.44,631.46,0.0,,,0.0
212821546,-0.1596,0.1264,0.9791,0.0,29.01,-25.89,-30.39,0.0,3.5,0.0,-0.0696,0.1042,0.9921,0.0,-35.79,-26.35,-30.24,0.0,3.36,0.0,0.5792,0.4496,0.0,-79.65,50.51,624.32,0.0,,,0.009998
212831531,-0.1571,0.1305,0.9789,0.0,28.96,-26.03,-30.39,0.0,3.56,0.0,-0.0716,0.101,0.9923,0.0,-35.68,-26.22,-30.14,0.0,3.34,0.0,0.5791,0.4493,0.0,-78.98,50.28,620.07,0.0,,,0.019983
212841521,-0.1597,0.1263,0.9791,0.0,29.01,-25.88,-30.39,0.0,3.5,0.0,-0.0678,0.1065,0.992,0.0,-35.78,-26.35,-30.25,0.0,3.36,0.0,0.5787,0.4485,0.0,-78.66,50.79,620.52,0.0,,,0.029973
212851516,-0.1566,0.1317,0.9788,0.0,28.96,-26.02,-30.4,0.0,3.57,0.0,-0.0711,0.1039,0.992,0.0,-35.67,-26.21,-30.14,0.0,3.33,0.0,0.5788,0.4465,0.0,-79.61,52.62,627.98,0.0,,,0.039968
212861511,-0.16,0.1274,0.9789,0.0,29.01,-25.88,-30.4,0.0,3.51,0.0,-0.0697,0.1112,0.9913,0.0,-35.78,-26.34,-30.26,0.0,3.36,0.0,0.5793,0.444,0.0,-81.84,55.24,641.15,0.0,,,0.049963
212871499,-0.157,0.1336,0.9785,0.0,28.95,-26.02,-30.4,0.0,3.57,0.0,-0.0725,0.1068,0.9916,0.0,-35.67,-26.21,-30.14,0.0,3.33,0.0,0.5793,0.4432,0.0,-81.38,55.45,637.88,0.0,,,0.059951
212881521,-0.1599,0.1285,0.9787,0.0,29.01,-25.87,-30.4,0.0,3.51,0.0,-0.0679,0.1147,0.9911,0.0,-35.78,-26.35,-30.26,0.0,3.37,0.0,0.5788,0.4418,0.0,-80.54,56.11,635.49,0.0,,,0.069973
212891511,-0.1562,0.1347,0.9785,0.0,28.95,-26.02,-30.4,0.0,3.58,0.0,-0.0715,0.1098,0.9914,0.0,-35.67,-26.22,-30.14,0.0,3.33,0.0,0.5787,0.4405,0.0,-81.69,57.81,645.66,0.0,,,0.079963
212901509,-0.1593,0.1291,0.9787,0.0,29.0,-25.87,-30.4,0.0,3.51,0.0,-0.0695,0.1155,0.9909,0.0,-35.78,-26.35,-30.26,0.0,3.37,0.0,0.579,0.44,0.0,-82.74,58.6,651.31,0.0,,,0.089961
212911493,-0.1566,0.1347,0.9784,0.0,28.95,-26.01,-30.41,0.0,3.58,0.0,-0.0721,0.1099,0.9913,0.0,-35.67,-26.22,-30.13,0.0,3.33,0.0,0.579,0.4403,0.0,-82.15,58.0,646.7,0.0,,,0.099945
212921489,-0.1593,0.1301,0.9786,0.0,29.0,-25.87,-30.4,0.0,3.52,0.0,-0.0686,0.1142,0.9911,0.0,-35.8,-26.34,-30.29,0.0,3.37,0.0,0.5788,0.4408,0.0,-81.06,57.05,639.71,0.0,,,0.109941
212931480,-0.1569,0.1348,0.9784,0.0,28.94,-26.01,-30.41,0.0,3.59,0.0,-0.0708,0.1098,0.9914,0.0,-35.68,-26.21,-30.14,0.0,3.33,0.0,0.5788,0.4409,0.0,-80.63,56.67,636.14,0.0,,,0.119932
212941472,-0.1594,0.131,0.9785,0.0,29.0,-25.87,-30.4,0.0,3.53,0.0,-0.0683,0.1131,0.9912,0.0,-35.81,-26.33,-30.3,0.0,3.39,0.0,0.5789,0.4414,0.0,-80.02,55.91,630.92,0.0,,,0.129924
212951461,-0.1572,0.1343,0.9784,0.0,28.94,-26.0,-30.42,0.0,3.6,0.0,-0.0706,0.1084,0.9916,0.0,-35.68,-26.21,-30.14,0.0,3.34,0.0,0.5789,0.4424,0.0,-79.79,55.16,629.03,0.0,,,0.139913
212961454,-0.1596,0.1294,0.9787,0.0,28.99,-25.86,-30.4,0.0,3.54,0.0,-0.068,0.1123,0.9913,0.0,-35.81,-26.33,-30.31,0.0,3.39,0.0,0.5788,0.4428,0.0,-79.83,54.97,629.8,0.0,,,0.149906
212971448,-0.1579,0.1328,0.9785,0.0,28.94,-26.0,-30.43,0.0,3.61,0.0,-0.0701,0.1082,0.9916,0.0,-35.68,-26.21,-30.14,0.0,3.34,0.0,0.5789,0.4434,0.0,-79.68,54.39,627.36,0.0,,,0.1599
212981471,-0.1551,0.1313,0.9791,0.0,28.99,-25.86,-30.4,0.0,3.55,0.0,-0.0682,0.1106,0.9915,0.0,-35.82,-26.33,-30.31,0.0,3.4,0.0,0.5791,0.4445,0.0,-79.18,53.3,621.62,0.0,,,0.169923
212991456,-0.1642,0.1299,0.9778,0.0,28.93,-26.0,-30.43,0.0,3.61,0.0,-0.07,0.1068,0.9918,0.0,-35.69,-26.22,-30.14,0.0,3.35,0.0,0.5793,0.4453,0.0,-78.87,52.51,617.85,0.0,,,0.179908
213061404,-0.1609,0.1312,0.9782,0.0,28.99,-25.87,-30.4,0.0,3.56,0.0,-0.067,0.1076,0.9919,0.0,-35.83,-26.34,-30.31,0.0,3.41,0.0,0.5792,0.4466,0.0,-76.01,49.87,595.83,0.0,,,0.249856
213071392,-0.1598,0.1329,0.9782,0.0,28.93,-26.0,-30.43,0.0,3.62,0.0,-0.0694,0.1065,0.9919,0.0,-35.7,-26.22,-30.14,0.0,3.35,0.0,0.5796,0.4459,0.0,-77.32,50.93,603.41,0.0,,,0.259844
213081384,-0.162,0.1308,0.9781,0.0,28.98,-25.87,-30.4,0.0,3.57,0.0,-0.0689,0.1087,0.9917,0.0,-35.82,-26.35,-30.28,0.0,3.42,0.0,0.5801,0.4457,0.0,-77.99,51.14,604.41,0.0,,,0.269836
213091405,-0.1614,0.1316,0.9781,0.0,28.93,-26.0,-30.43,0.0,3.63,0.0,-0.0711,0.1063,0.9918,0.0,-35.7,-26.23,-30.12,0.0,3.36,0.0,0.5806,0.4464,0.0,-78.97,51.04,608.23,0.0,,,0.279857
213101403,-0.1637,0.1286,0.9781,0.0,28.98,-25.88,-30.39,0.0,3.59,0.0,-0.0705,0.1082,0.9916,0.0,-35.83,-26.35,-30.27,0.0,3.42,0.0,0.5811,0.447,0.0,-79.65,50.83,609.26,0.0,,,0.289855
213111388,-0.1633,0.131,0.9778,0.0,28.92,-26.0,-30.43,0.0,3.64,0.0,-0.072,0.1065,0.9917,0.0,-35.71,-26.23,-30.12,0.0,3.37,0.0,0.5815,0.4469,0.0,-79.53,50.56,605.29,0.0,,,0.29984
213121383,-0.1647,0.1303,0.9777,0.0,28.97,-25.88,-30.39,0.0,3.58,0.0,-0.0714,0.1078,0.9916,0.0,-35.84,-26.35,-30.27,0.0,3.44,0.0,0.5818,0.4468,0.0,-79.3,50.31,601.31,0.0,,,0.309835
213131374,-0.1643,0.1315,0.9776,0.0,28.92,-26.01,-30.42,0.0,3.64,0.0,-0.0733,0.1064,0.9916,0.0,-35.72,-26.22,-30.12,0.0,3.37,0.0,0.5823,0.4467,0.0,-80.21,50.62,604.47,0.0,,,0.319826
213141367,-0.1665,0.1295,0.9775,0.0,28.96,-25.88,-30.38,0.0,3.59,0.0,-0.0736,0.1086,0.9914,0.0,-35.85,-26.35,-30.27,0.0,3.44,0.0,0.583,0.4463,0.0,-81.54,51.2,608.69,0.0,,,0.329819
213151355,-0.1665,0.1309,0.9773,0.0,28.91,-26.01,-30.42,0.0,3.65,0.0,-0.076,0.107,0.9914,0.0,-35.73,-26.22,-30.13,0.0,3.38,0.0,0.5838,0.4463,0.0,-82.67,51.46,611.54,0.0,,,0.339807
213161348,-0.1692,0.1262,0.9775,0.0,28.95,-25.88,-30.39,0.0,3.59,0.0,-0.0758,0.1101,0.991,0.0,-35.85,-26.35,-30.27,0.0,3.44,0.0,0.5845,0.4468,0.0,-84.36,51.81,618.53,0.0,,,0.3498
